timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,geo_country,is_labeled_suspicious,attack_type
2026-07-27 12:10:15,220.111.32.201,196.136.31.45,8332,18332,e726350d218143800203a236d096e8f94d1fd8c28a8ec862793c0e79a6cb2411,3CoinbaseCold123,1qhoGaEN7V0V2jIqEfA81N8Mzyli9rx8ZH,200.60393457,200.60354004,0.00039453,P2WPKH,ZW,False,Whitelisted_Institutional
2026-07-27 12:15:21,105.64.35.169,169.25.49.86,65359,8333,0f8480731ca6ab234aeca06b92fb39f6ab41b2890faf64fad2475437c7935131,3K592D2g5K4ruBkOf9b7p9Q0gU3BiiYef8|bc1qJUhbmz4p1A2smYtppkPw6koo265ME3hbh2qSZ4,3KzOmk3BG7Yae9YcG4seHKEWho3XrPJeIV,0.02492805|0.34228596,0.36684391,0.0003701,P2SH,ML,False,Normal_P2P
2026-07-27 12:18:39,206.101.248.152,165.228.203.40,443,18332,6bff582b159f7a5f19f6eeb9745b3d9943ea30fb3eddb78955d39d325420930a,3qH1z6ynQQyCGjmhVafhhr3DMYQeLBDYFz|1kgU3JlzvP9RBg5Cgd58BrgS3CNu2zm0vL|1ixpWYNOXrMqVC3qDohhWfkfOggKFMU7LP|bc1qgySsfFBkfxCudaKPe76mILOlmGWM62gp5XtEOL|3x1IybgNZ8BCKyKep8UzIZIVAH1x6VipJv|bc1qeegKiXrMMf805MskZFrkAaP5fDq8xpGKkTuzFI|bc1qvnYnskodZqEF8aTsan4JrL6H6I69XvFDqV0UTb|bc1qp8Vmjmjc2DgB7EPlmTFhZnq2vNTf1Ts5qEqVWB|30cPuUP1iyPGG94HavxyxWoNSQTWmUt2yP|3qheFJ71HA1xQroDUzHjXnWE9W6c8QWx6U|3MYEB4fkZKwk1KF6oKGvvwLkmYxAcgVsZs|bc1qNkWcXsTDJNnAOKkGlHHnLsFr3tKzOrC9gHVZxI|1um9pRT4oMBh3ntBHqmPZffR8TJbl2FimH|bc1qX711deR1S4leBZAuBr5QPlKbyxTzzpdqXnvNLs|1DPwjTdF2B3LCSKiLe6ofVY55u4jkvk89X|3catMZiLqtZBf5fvomMEuWgGDmYQ989I8S,1U8TZaKa9OrPMauUPUfbMnlXeCq5zUBvgz|384i523Rutt73QaYpLWOjEQRMht7jv0291|3hzJfpLCwRngdtTnYQL9FKtB7AOgfJeuUh|bc1qybpP2m8MQlErwe0oO3bAra2oCHEFC5NrE67beq|1IbKXR5YaAvEaGpQOxdMONbGjqgvuMK6Dx|3dmTKYSuVy2jebOxokVDruqhdk9qiS9nwP|bc1qBIoPw8oV6tmXsvFB1rM8JZ5OlU9x6hdQQ74xRb|1kI7a2N1wqtuTHXCJFK9JlKPcCFqSslJtc|14aAfzoBm7BmXHpE40Za5shqjGqITuDWhK|bc1qZPkaEjB6iiGArQbXpZ4ir5XrAI32vaQC0GYlZo|1rpwuvMidN3El36jt5kbl4ecKp1OL4SELM|1ZSXkz0hSB86PZYG6rZZ57qy8xTqSTpzkL|1spdtlEzWysA8WaEMrINlQoRT6KLCpvaP8|1gH4L9xZGgFri3e6ikmwx0smZHilgFs7XJ|3iwFlPtCQR1a9XBshNUOYjRLeQepIiFbwm|3Hwvo8vHYOxzRgb5hjs5MBoESOkJQWijGM|3k84j6shkUOZruR2QJlID7LwrcwJLwUp3w,1.01459969|1.01235577|1.01621152|1.0065489|1.04921088|1.02080702|1.00519698|1.02385612|1.0185288|1.02034872|1.04727485|1.00366849|1.01461831|1.0403461|1.03382607|1.04153983,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0.3677048,0.00123325,P2WPKH,CG,True,CoinJoin_Mixer
2026-07-27 12:28:34,208.68.247.26,56.72.140.98,58614,18333,1d39a387bceeb47288c01bd4b1a8a6e316e3ea84dcef03acb3b795cb1c9f23b8,bc1q5xLcJvTDFHDPN123SSSYiipg5PtRFOaAdwkzCI,3utwvzSQ7fgExpsmymTqWwGc7s3BM1OAPk,0.42649827,0.42623677,0.0002615,P2SH,LR,False,Normal_P2P
2026-07-27 13:01:31,52.254.14.10,210.5.223.188,61022,8332,ac90cc83d391de1d9e9094374cbb0cb4f1a7fb2e7b328e702e3c1fed087353c5,bc1qlE5PAtUzIe89nKitf1XUmmX7O0GLsrJd7bsXoL,bc1qLVWPBipyXuV3PdyKdbVPxIBso49KowOEeRh12N|3myz7bRepkeloyjFB9cfKcvmU8cjSvGai3|bc1qu8geASTKeetpxIGo8U8x68ATGMdbEDoFCE00qF|3bGkPbqTuvkpNHDpgKoHvrW0KTUKo2GZY4|1VDX69oRK1VBVAabUpDKo8UuT12K5NQnVO|14w5zpWN6QEcWW7OXIvQRpWKwlqgHIqJfF|1gSv3yGYTXe50xTdgEICt6Phuz2zlrn5lV|bc1qQ6Hz0uIzCn0b51gPktAwrL71sqSHvLzmjU6W4Z|bc1qNF4EbKakoLbB9jE7hl4EtHSgAvyU00BewhP9BZ|3mQMmdXiTCU2gGJJIQrVSqZAScF3uITUCN,15.62037684,0.66398838|1.93109925|0.15922677|2.38551422|1.62037306|1.4071261|1.15500192|0.69118605|0.17922816|5.42511336,0.00251957,P2WPKH,PL,True,FanOut_Dispersal
2026-07-27 13:15:16,137.110.41.11,142.53.222.230,18333,18332,4cee68e9b204afb5ebeea7065d3439594561e762cdd1ad64812afda25b6fdf79,1OhgksUYkzPxPBc7asRSl5JAyzyi3FMuu6,10m822mMIw7EJ7rCaE57igRpYv8HE2XmZc|1HR8XA1JdY1FHMAAVmU84KQcRgRukB2LYL,25.82800072,0.12423733|25.70337632,0.00038707,P2PKH,MG,True,Peel_Chain
2026-07-27 13:23:48,198.76.48.86,15.74.242.245,60107,8332,f8885cb3074362c911874a7cbbd3f7cc5c99eb28ed04857c2b39acc84caa4b27,bc1qd7QHViZoPwjX8rLjqIHi3kHl7Hzkbar9gXqdrE|1LeIOCzwMhjSGmHxTcSgEWiqoxSRLL2bAW,bc1qknFAZbyiBuydUZZYHpJSrrzrWlMTwW0FDjhfto,0.14609207|0.22068002,0.36640514,0.00036695,P2SH,IS,False,Normal_P2P
2026-07-27 13:49:35,218.169.218.165,44.134.155.92,60627,8333,7db4e0f3b863738b0a99f056470a672a547d9df8ec0ce855658d366fedd4faf0,1wyCThNhV7QQdSwZLkt5vJ78H9Wd6fotAj,10nyhdiyBalA6EfLT5uMvNExvHro78borg,0.69212144,0.69168162,0.00043982,P2WPKH,ET,False,Normal_P2P
2026-07-27 13:55:25,133.187.235.55,59.27.74.10,62141,8332,092a14db2966dbbbb845c4a7592bf09cf0b6a3c49c0ffb2ebf9406619e0e575d,bc1qaqU8U1J286GOd9hOta7pUVnM8dwOYHXDcJNoJa|3xptnfD3c010AET2V9MMKBa52FtLHTIdLh,3OMFdGe6NfVcd3p7RUcr0MsKMpDy0KSF9n,0.09698561|0.87285586,0.96966438,0.00017709,P2WPKH,ET,False,Normal_P2P
2026-07-27 14:02:46,203.155.97.212,182.0.91.6,8333,18333,46b75b64017af6dcc5ab7a959176c35018158fd17f571f676b7c43e612a96124,3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLsy,3ayXgVL0BZK3MG7urj4fUMn90sV26RViQq,62.73656468,62.7357571,0.00080758,P2WPKH,MX,False,Whitelisted_Institutional
